personId,lastName,firstName,pos,heightFeet,heightInches
1626148,Brown,Anthony,F-G,6,7
1627759,Brown,Jaylen,G-F,6,7
203485,Brown,Lorenzo,G,6,5
203900,Brown,Markel,G,6,3
1628425,Brown,Sterling,G,6,6
27020,Bruce,Shaun,G,-,-
1628418,Bryant,Thomas,C,6,10
57237,Buford,Perrin,GF,-,-
203493,Bullock,Reggie,G-F,6,7
203504,Burke,Trey,G,6,1
202692,Burks,Alec,G,6,6
202710,Butler,Jimmy,G,6,8
202779,Buycks,Dwight,G,6,3
203998,Caboclo,Bruno,F,6,9
45847,Cadee,Jason,G,-,-
1962937737,Cadee,Jason,,-,-
101181,Calderon,Jose,G,6,3
203484,Caldwell-Pope,Kentavious,G,6,5
203991,Capela,Clint,C,6,10
201960,Carroll,DeMarre,F,6,8
1713,Carter,Vince,G-F,6,6
203487,Carter-Williams,Michael,G,6,6
1627936,Caruso,Alex,G,6,5
1626161,Cauley-Stein,Willie,C,7,0
1628463,Cavanaugh,Tyler,F,6,9
201596,Chalmers,Mario,G,6,2
2199,Chandler,Tyson,C,7,1
201163,Chandler,Wilson,F,6,9
1627737,Chriss,Marquese,F,6,10
203546,Clark,Ian,G,6,3
203903,Clarkson,Jordan,G,6,5
1628499,Cleveland,Antonius,G,6,6
1628381,Collins,John,F-C,6,10
1628380,Collins,Zach,C-F,7,0
1627858,Collinsworth,Kyle,G,6,6
201954,Collison,Darren,G,6,2
2555,Collison,Nick,F-C,6,10
201144,Conley,Mike,G,6,1
1626192,Connaughton,Pat,G-F,6,5
1626188,Cook,Quinn,G,6,2
1628429,Cooke,Charles,G,6,5
204022,Cooley,Jack,C-F,6,10
1627856,Costello,Matt,F-C,6,10
202326,Cousins,DeMarcus,C,6,11
203496,Covington,Robert,F,6,9
203459,Crabbe,Allen,G-F,6,6
1628470,Craig,Torrey,G-F,6,6
2037,Crawford,Jamal,G,6,5
202348,Crawford,Jordan,G,6,5
203109,Crowder,Jae,F,6,6
201967,Cunningham,Dante,F,6,8
203552,Curry,Seth,G,6,2
201939,Curry,Stephen,G,6,3
1962937738,Daly,Sam,,-,-
203584,Daniels,Troy,G,6,4
203076,Davis,Anthony,F-C,6,10
1627738,Davis,Deyonta,C-F,6,11
202334,Davis,Ed,F-C,6,10
203473,Dedmon,Dewayne,C,7,0
1626155,Dekker,Sam,F,6,9
1627098,Delaney,Malcolm,G,6,3
203521,Dellavedova,Matthew,G,6,4
2736,Deng,Luol,F,6,9
201942,DeRozan,DeMar,G,6,7
1627767,Diallo,Cheick,F,6,9
203476,Dieng,Gorgui,C,6,11
203915,Dinwiddie,Spencer,G,6,6
1628416,Dorsey,Tyler,G,6,5
1628422,Dotson,Damyean,G,6,5
1628495,Doyle,Milton,G,6,4
1628408,Dozier,PJ,G,6,6
201609,Dragic,Goran,G,6,3
203580,Drew II,Larry,G,6,2
203083,Drummond,Andre,C,6,11
201162,Dudley,Jared,F,6,7
1627739,Dunn,Kris,G,6,4
201142,Durant,Kevin,F,6,9
204067,Eddie,Jarell,G-F,6,7
1627740,Ellenson,Henry,F,6,11
201961,Ellington,Wayne,G,6,5
1627768,Ellis,Perry,F,-,-
203954,Embiid,Joel,C,7,0
203898,Ennis,Tyler,G,6,3
203516,Ennis III,James,F,6,7
1628393,Evans,Jawun,G,6,0
202379,Evans,Jeremy,F,6,9
201936,Evans,Tyreke,G-F,6,6
203957,Exum,Dante,G,6,6
27005,Fan,Zhang,G,-,-
202702,Faried,Kenneth,F,6,8
202324,Favors,Derrick,F-C,6,10
1627770,Felder,Kay,G,5,9
1626245,Felicio,Cristiano,C-F,6,9
101109,Felton,Raymond,G,6,1
1628390,Ferguson,Terrance,G,6,7
1627812,Ferrell,Yogi,G,6,0
1627827,Finney-Smith,Dorian,F,6,8
203176,Fogg,Kyle,G,-,-
1627854,Forbes,Bryn,G,6,3
203095,Fournier,Evan,G-F,6,7
1628368,Fox,De'Aaron,G,6,3
204025,Frazier,Tim,G,6,1
1962937769,Fredette,Jimmer,,-,-
101112,Frye,Channing,F,6,11
1962937810,Fullarton,Tom,,-,-
1628365,Fultz,Markelle,G,6,4
201568,Gallinari,Danilo,F,6,10
204038,Galloway,Langston,G,6,2
27029,Garlepp,Tom,F,-,-
